출발_동,도착_동,label,score
가리봉동,상도동,,0.113784706
가리봉동,서교동,,0.29885602
가리봉동,성산동,,0.136120595
가리봉동,수궁동,,0.175176454
가리봉동,시흥동,,0.999599751
가리봉동,신길동,,0.337415136
가리봉동,신대방동,,0.584541085
가리봉동,신도림동,1,0.934366786
가리봉동,신림동,0,0.0951800844
가리봉동,신사동,,0.109085785
가리봉동,신월동,,0.995440059
가리봉동,신정동,,0.999982946
가리봉동,신촌동,0,0.0952471128
가리봉동,양평동,0,0.100689157
가리봉동,여의도동,,0.822508123
가리봉동,역촌동,,0.11102902
가리봉동,염창동,,0.095157751
가리봉동,영등포동,,0.976304502
가리봉동,오류동,,0.483570377
가리봉동,원효로동,,0.121744524
가리봉동,응암동,,0.099718722
가리봉동,자양동,,0.095157751
가리봉동,조원동,,0.960904087
가리봉동,증산동,,0.0986066716
가리봉동,진관동,0,0.100208742
가리봉동,청파동,0,0.104630889
가리봉동,합정동,,0.182778577
가리봉동,화곡동,,0.417099409
가리봉동,회현동,0,0.103038098
가리봉동,흑석동,0,0.104874109
가산동,가락동,,0.997888403
가산동,가리봉동,,0.999994364
가산동,가산동,1,1
가산동,가양동,,0.999987545
가산동,갈현동,,0.999951824
가산동,개봉동,1,1
가산동,개포동,,0.761887747
가산동,거여동,,0.61111452
가산동,고척동,,0.976238414
가산동,공덕동,,0.999505193
가산동,공릉동,,0.999929335
가산동,공항동,,0.69186072
가산동,광장동,,0.661203515
가산동,광희동,,0.775810184
가산동,구로동,1,1
가산동,구산동,,0.095157751
가산동,구의동,,0.999995839
가산동,금호동,,0.857494502
가산동,길동,,0.389918312
가산동,길음동,,0.993525237
가산동,낙성대동,,0.971126853
가산동,난곡동,,0.925774074
가산동,난향동,,0.452552776
가산동,남가좌동,,0.227067076
가산동,남영동,,0.999989994
가산동,남현동,,0.999999689
가산동,내곡동,,0.24934028
가산동,노량진동,,0.999999277
가산동,녹번동,,0.979578898
가산동,논현동,1,1
가산동,능동,,0.999999996
가산동,당산동,1,1
가산동,대림동,1,1
가산동,대방동,1,1
가산동,대조동,,0.975071169
가산동,대치동,,0.999999992
가산동,대학동,,0.98060816
가산동,대흥동,,0.99493413
가산동,도곡동,,0.996425498
가산동,도림동,,0.114230059
가산동,도봉동,,0.989260314
가산동,독산동,1,1
가산동,동화동,,0.235529299
가산동,둔촌동,,0.942459137
가산동,등촌동,,0.999953776
가산동,마장동,,0.192061552
가산동,마천동,,0.343507193
가산동,망우동,,0.225259552
가산동,면목동,,0.999999999
가산동,명동,,0.999519194
가산동,명일동,,0.871149469
가산동,목동,1,1
가산동,묵동,,0.970537811
가산동,문래동,,0.999999454
가산동,문정동,,0.899145883
가산동,미성동,,1
가산동,미아동,,0.783599639
가산동,반포동,,1
가산동,발산동,,0.996104485
가산동,방배동,,1
가산동,방이동,,0.654126843
가산동,방학동,,0.261464631
가산동,방화동,,0.999194075
가산동,번동,,0.997636012
가산동,보라매동,,0.99981412
가산동,보문동,,0.298398354
가산동,북가좌동,,0.173589509
