     순위     출발_동     도착_동      score
      1      상일동      명일동   1.000000
      1      상일동      천호동   1.000000
      1      서강동      대흥동   1.000000
      1      서강동      서강동   1.000000
      1      서강동     한강로동   1.000000
      1      서교동      공릉동   1.000000
      1      서교동      녹번동   1.000000
      1      서교동      신길동   1.000000
      1      서교동      용신동   1.000000
      1      서교동      이화동   1.000000
      1      서교동      효창동   1.000000
      1     서빙고동     서빙고동   1.000000
      1      서원동      문래동   1.000000
      1      서원동      신촌동   1.000000
      1      서원동     영등포동   1.000000
      1      서원동      종로동   1.000000
      1      서초동      내곡동   1.000000
      1      서초동      녹번동   1.000000
      1      서초동      삼선동   1.000000
      1      서초동      약수동   1.000000
      1      서초동      용답동   1.000000
      1      석관동      상계동   1.000000
      1      석관동      이문동   1.000000
      1      석관동      전농동   1.000000
      1      석관동       창동   1.000000
      1      석관동      회현동   1.000000
      1      석촌동      삼성동   1.000000
      1      석촌동      장지동   1.000000
      1      성내동      면목동   1.000000
      1      성내동      상계동   1.000000
      1      성내동     을지로동   1.000000
      1      성산동      대흥동   1.000000
      1      성산동      증산동   1.000000
      1      성수동       능동   1.000000
      1      성수동      소공동   1.000000
      1      성수동     압구정동   1.000000
      1      성수동     여의도동   1.000000
      1      성현동      청룡동   1.000000
      1      소공동      광희동   1.000000
      1      소공동      구의동   1.000000
      1      소공동     여의도동   1.000000
      1      소공동     영등포동   1.000000
      1      소공동      용신동   1.000000
      1      송정동      인수동   1.000000
      1      송천동      수유동   1.000000
      1      송파동     여의도동   1.000000
      1      수궁동      구로동   1.000000
      1      수궁동      논현동   1.000000
      1      수궁동      신정동   1.000000
      1      시흥동      가산동   1.000000
      1      시흥동      종로동   1.000000
      1      신길동      당산동   1.000000
      1      신길동      문래동   1.000000
      1      신길동      서교동   1.000000
      1      신길동      서초동   1.000000
      1      신내동      종로동   1.000000
      1      신당동      광희동   1.000000
      1      신당동      금호동   1.000000
      1      신당동      용신동   1.000000
      1      신당동      행당동   1.000000
